Authors;Title;type;Link;Code;available;as;aim;documentation;doc_length;year;source;gh;pid;print;Links_2023-08-22;license;metadata
Athos Agapiou;Detecting Looting Activity through Earth Observation Multi-Temporal Analysis over the Archaeological Site of Apamea (Syria) during 2011–2012;Research Article;https://doi.org/10.5334/jcaa.56;no, closed source programs used;no;;;;;2020;journal website;;;;;;
"Michael Doneus,
Gottfried Mandlburger,
Nives Doneus";Archaeological Ground Point Filtering of Airborne Laser Scan Derived Point-Clouds in a Difficult Mediterranean Environment;Research Article;https://doi.org/10.5334/jcaa.44;no, closed source programs used;no;;;;;2020;journal website;;;;;;
"Eythan Levy, Eli Piasetzky,
Israel Finkelstein";Strata, Scarabs and Synchronisms: A Framework for Synchronizing Strata and Artifacts;Research Article;https://doi.org/10.5334/jcaa.41;Python;https://github.com/Eythan31/TPQ-Composer;programme, script;research software;README;little;2020;journal website;y;n;;y;GPL-3.0;little
"Martin Olivier,
Wouter Verschoof-van der Vaart";Implementing State-of-the-Art Deep Learning Approaches for Archaeological Object Detection in Remotely-Sensed Data: The Results of Cross-Domain Collaboration;Research Article;https://doi.org/10.5334/jcaa.78;Python, yolo scripts;https://github.com/epsln/YOLOv4LiDAR;compendium;article reproducibility;README;good;2021;journal website;y;n;;y;no;little
Andrew White;Lithic Transport Patterns, Tool Curation Behavior, and Group Range Estimates: A Model-Based Exploration;Research Article;https://doi.org/10.5334/jcaa.82;Java, Repast;no;;;;;2021;journal website;;;;;;
Mike Lyons;Ceramic Fabric Classification of Petrographic Thin Sections with Deep Learning;Research Article;https://doi.org/10.5334/jcaa.75;TensorFlow;no;;;;;2021;journal website;;;;;;
"Francesco Valletta,
Itamar Dag,
Leore Grosman";Identifying Local Learning Communities During the Terminal Palaeolithic in the Southern Levant: Multi-scale 3-D Analysis of Flint Cores;Research Article;https://doi.org/10.5334/jcaa.74;MATLAB;https://github.com/itamardag/CoreAnalysisToolbox;script;research software;comments;little;2021;journal website;y;n;;y;no;no
"Maria Elena Castiello,
Marj Tonini";An Explorative Application of Random Forest Algorithm for Archaeological Predictive Modeling. A Swiss Case Study;Research Article;https://doi.org/10.5334/jcaa.71;R Code;no;;;;;;journal website;;;;;;
"Nicholas Arnold,
Plamen Angelov,
Tim Viney,
Peter Atkinson";Automatic Extraction and Labelling of Memorial Objects From 3D Point Clouds;Research Article;https://doi.org/10.5334/jcaa.66;Python;no;;;;;2021;journal website;;;;;;
"Marta Lorenzon,
Cansu Pylkännen,
Andreas V. Artto";Architecture Reality and Perception: The Multicultural Nature of Egyptian Domestic Architecture in the Roman Period;Case Study;https://doi.org/10.5334/jcaa.95;no;no;;;;;2023;journal website;;;;;;
